A-JournalCode;B-JournalLib;C-EcritureNum;D-EcritureDate;E-CompteNum;F-CompteLib;G-CompAuxNum;H-CompAuxLib;I-PieceRef;J-PieceDate;H-EcritureLib;K-Debit;L-Credit;M-EcritureLet;N-DateLet;O-ValidDate;P-Montantdevise;Q-Idevise;1-Montant;2-Valeur Absolue;3-Mois;4-Trimestre;5-Semestre;6-Année;7-Racine 1;8-Libellé Racine 1;9-Racine 2;10-Libellé Racine 2;11-Racine 3;12-Libellé Racine 3;13-Racine 4;14-Libellé Racine 4;15-Racine 5;16-Libellé Racine 5;17-Bilan;18-Resultat;19-Report à nouveau;20-Trésorerie;21-Banque;22-Caisse;23-Debit/Crédit;24-Encaissements / Décaissements;25-Dettes;26-Ventes;27-Reconnaissance fournisseur;28-Espèces;29-Investissements;30-;31-;32-;;;;
[RAN];A-Nouveau ;01/01/2001;01/01/2023;10100000;CAPITAL;;;Non dispo;20230101;A-nouveaux au 01/01/2023;0;1000;;19700101;;;;1000;1000;Err :520;Err :520;Err :520;2023;1;Capitaux;10;CAPITAL ET RESERVES;101;Capital;1010;Capital;10100;Capital;Bilan;;;;;;C;;;;;;;;;;;;;
[RAN];A-Nouveau ;01/01/2001;01/01/2023;10611000;RÃ‰SERVE LÃ‰GALE PROPREMENT DITE;;;Non dispo;20230101;A-nouveaux au 01/01/2023;0;100;;19700101;;;;100;100;Err :520;Err :520;Err :520;2023;1;Capitaux;10;CAPITAL ET RESERVES;106;Réserves;1061;Réserves;10611;Réserves;Bilan;;;;;;C;;;;;;;;;;;;;
[RAN];A-Nouveau ;01/01/2001;01/01/2023;10680000;AUTRES RESERVES;;;Non dispo;20230101;A-nouveaux au 01/01/2023;0;11990;67;;19700101;;;;11990;67;11990;67;Err :520;Err :520;Err :520;2023;1;Capitaux;10;CAPITAL ET RESERVES;106;Réserves;1068;Réserves;10680;Réserves;Bilan;;;;;;C;;;;;;;;;;
[RAN];A-Nouveau ;01/01/2001;01/01/2023;12000000;RESULTAT DE L'EXERCICE (BENEFICE);;;Non dispo;20230101;RÃ©sultat de l'exercice;0;57995;9;;19700101;;;;57995;9;57995;9;Err :520;Err :520;Err :520;2023;1;Capitaux;12;RESULTAT DE L'EXERCICE;120;Résultat de l'exercice;1200;Résultat de l'exercice;12000;Résultat de l'exercice;Bilan;;;;;;C;;;;;;;;;;
[RAN];A-Nouveau ;01/01/2001;01/01/2023;20600000;DROIT AU BAIL;;;Non dispo;20230101;A-nouveaux au 01/01/2023;45000;0;;19700101;;;;-45000;45000;Err :520;Err :520;Err :520;2023;2;Investissements;20;IMMOBILISATIONS INCORPORELLES;206;Droit au bail;2060;Droit au bail;20600;Droit au bail;Bilan;;;;;;D;;;;;;Investissements;;;;;;;
[RAN];A-Nouveau ;01/01/2001;01/01/2023;21500000;INSTALLATIONS TECHNIQUES; MATÃ‰RIEL ET OUTILLAGE;;;Non dispo;20230101;A-nouveaux au 01/01/2023;750;0;;19700101;;;;-750;750;Err :520;Err :520;Err :520;2023;2;Investissements;21;IMMOBILISATIONS CORPORELLES;215;Installations techniques; matériels et outillage industriels;2150;Installations techniques; matériels et outillage industriels;21500;Installations techniques; matériels et outillage industriels;Bilan;;;;;;D;;;;;;Investissements;;;
[RAN];A-Nouveau ;01/01/2001;01/01/2023;21540000;MATÃ‰RIEL INDUSTRIEL;;;Non dispo;20230101;A-nouveaux au 01/01/2023;37463;75;0;;19700101;;;;-37463;75;37463;75;Err :520;Err :520;Err :520;2023;2;Investissements;21;IMMOBILISATIONS CORPORELLES;215;Installations techniques; matériels et outillage industriels;2154;Matériel industriel;21540;Matériel industriel;Bilan;;;;;;D;;;;;;Investissements;;;
[RAN];A-Nouveau ;01/01/2001;01/01/2023;21810000;INSTALLATIONS GÃ‰NÃ‰RALES; AGENCEMENTS; AMÃ‰NAGEMENTS DIVERS;;;Non dispo;20230101;A-nouveaux au 01/01/2023;92211;46;0;;19700101;;;;-92211;46;92211;46;Err :520;Err :520;Err :520;2023;2;Investissements;21;IMMOBILISATIONS CORPORELLES;218;Autres immobilisations corporelles;2181;Travaux;21810;Installations générales; agencements; aménagements divers;Bilan;;;;;;D;;;;;;Investissements
[RAN];A-Nouveau ;01/01/2001;01/01/2023;21820000;MATÃ‰RIEL DE TRANSPORT;;;Non dispo;20230101;A-nouveaux au 01/01/2023;2214;83;0;;19700101;;;;-2214;83;2214;83;Err :520;Err :520;Err :520;2023;2;Investissements;21;IMMOBILISATIONS CORPORELLES;218;Autres immobilisations corporelles;2182;Matériel de transport;21820;Matériel de transport;Bilan;;;;;;D;;;;;;Investissements;;;;
[RAN];A-Nouveau ;01/01/2001;01/01/2023;21830000;MATÃ‰RIEL DE BUREAU ET MATÃ‰RIEL INFORMATIQUE;;;Non dispo;20230101;A-nouveaux au 01/01/2023;7972;49;0;;19700101;;;;-7972;49;7972;49;Err :520;Err :520;Err :520;2023;2;Investissements;21;IMMOBILISATIONS CORPORELLES;218;Autres immobilisations corporelles;2183;Matériel de bureau et matériel informatique;21830;Matériel de bureau et matériel informatique;Bilan;;;;;;D;;;;;;Investissements;;;;
